# Spherical Bessel functions via up and down recursion, relative error, and function from GSL
 0.1000000000 7.2715109967e-21 -5.6466982208e+02 1.0000000000e+00 7.2715109967e-21
 0.2000000000 7.4411725281e-18 -1.3715933645e-01 1.0000000000e+00 7.4411725281e-18
 0.3000000000 4.2862929706e-16 3.9082557909e-04 1.0000000000e+00 4.2862929706e-16
 0.4000000000 7.5999054878e-15 -3.6628963987e-04 1.0000000000e+00 7.5999054878e-15
 0.5000000000 7.0641239637e-14 -2.1535726743e-05 1.0000000000e+00 7.0641239637e-14
 0.6000000000 4.3634669470e-13 3.8154843416e-06 9.9999977128e-01 4.3634669470e-13
 0.7000000000 2.0326908137e-12 -7.7011723500e-07 1.0000000000e+00 2.0326908137e-12
 0.8000000000 7.7014628084e-12 -3.5466350728e-07 1.0000000000e+00 7.7014628084e-12
 0.9000000000 2.4916751284e-11 2.7693206843e-08 9.9820213290e-01 2.4916751284e-11
 1.0000000000 7.1165526400e-11 4.0010148533e-08 9.9644894245e-01 7.1165526400e-11
 1.1000000000 1.8374267943e-10 5.8603022841e-09 9.3919877151e-01 1.8374267943e-10
 1.2000000000 4.3643458262e-10 -4.8767261623e-09 1.0000000000e+00 4.3643458262e-10
 1.3000000000 9.6643681646e-10 -1.5330267031e-09 1.0000000000e+00 9.6643681646e-10
 1.4000000000 2.0158724117e-09 2.2603005462e-09 5.7160488340e-02 2.0158724117e-09
 1.5000000000 3.9934406995e-09 3.4496752343e-09 7.3056159547e-02 3.9934406995e-09
 1.6000000000 7.5630221314e-09 7.3366727493e-09 1.5191544789e-02 7.5630221314e-09
 1.7000000000 1.3767474201e-08 1.3729204033e-08 1.3918106028e-03 1.3767474201e-08
 1.8000000000 2.4197355440e-08 2.4199534702e-08 4.5028983180e-05 2.4197355440e-08
 1.9000000000 4.1215880664e-08 4.1285007938e-08 8.3789732396e-04 4.1215880664e-08
 2.0000000000 6.8253008650e-08 6.8341991024e-08 6.5143215216e-04 6.8253008650e-08
 2.1000000000 1.1018315590e-07 1.1018685979e-07 1.6807602172e-05 1.1018315590e-07
 2.2000000000 1.7380257612e-07 1.7380011585e-07 7.0778308360e-06 1.7380257612e-07
 2.3000000000 2.6842389957e-07 2.6843883723e-07 2.7823991208e-05 2.6842389957e-07
 2.4000000000 4.0660664225e-07 4.0660915534e-07 3.0903087735e-06 4.0660664225e-07
 2.5000000000 6.0504362296e-07 6.0504559094e-07 1.6263072653e-06 6.0504362296e-07
 2.6000000000 8.8562411510e-07 8.8562584120e-07 9.7451096032e-07 8.8562411510e-07
 2.7000000000 1.2766951605e-06 1.2766983776e-06 1.2599220977e-06 1.2766951605e-06
 2.8000000000 1.8145427336e-06 1.8145428320e-06 2.7094489675e-08 1.8145427336e-06
 2.9000000000 2.5451143172e-06 2.5451137213e-06 1.1707293340e-07 2.5451143172e-06
 3.0000000000 3.5260038932e-06 3.5260028978e-06 1.4115159703e-07 3.5260038932e-06
 3.1000000000 4.8287193177e-06 4.8287195940e-06 2.8608310434e-08 4.8287193177e-06
 3.2000000000 6.5412505061e-06 6.5412507705e-06 2.0206796141e-08 6.5412505061e-06
 3.3000000000 8.7709547665e-06 8.7709548391e-06 4.1413152026e-09 8.7709547665e-06
 3.4000000000 1.1647772969e-05 1.1647772662e-05 1.3176492602e-08 1.1647772969e-05
 3.5000000000 1.5327786999e-05 1.5327787237e-05 7.7581616455e-09 1.5327786999e-05
 3.6000000000 1.9997125124e-05 1.9997125134e-05 2.5750928146e-10 1.9997125124e-05
 3.7000000000 2.5876217463e-05 2.5876217482e-05 3.5317395945e-10 2.5876217463e-05
 3.8000000000 3.3224398787e-05 3.3224398802e-05 2.2727713767e-10 3.3224398787e-05
 3.9000000000 4.2344850269e-05 4.2344850210e-05 6.9685800051e-10 4.2344850269e-05
 4.0000000000 5.3589865769e-05 5.3589865805e-05 3.3470412920e-10 5.3589865769e-05
 4.1000000000 6.7366421606e-05 6.7366421663e-05 4.2916898917e-10 6.7366421606e-05
 4.2000000000 8.4142021811e-05 8.4142021851e-05 2.3553932382e-10 8.4142021811e-05
 4.3000000000 1.0445078343e-04 1.0445078342e-04 4.5883296800e-11 1.0445078343e-04
 4.4000000000 1.2889971879e-04 1.2889971878e-04 3.5139708323e-11 1.2889971879e-04
 4.5000000000 1.5817516371e-04 1.5817516372e-04 3.4530098410e-12 1.5817516371e-04
 4.6000000000 1.9304929271e-04 1.9304929272e-04 1.7157892192e-11 1.9304929271e-04
 4.7000000000 2.3438665403e-04 2.3438665403e-04 4.5972512112e-12 2.3438665403e-04
 4.8000000000 2.8315064961e-04 2.8315064962e-04 8.3044756382e-12 2.8315064961e-04
 4.9000000000 3.4040987718e-04 3.4040987718e-04 4.0790967608e-12 3.4040987718e-04
